Name,Location,Study Program,Sector,Affiliation,Rating
College of Tourism & Hotel Management COTHM Multan,"278-B, Gulgasht Colony, Bosan Road, Multan",Intermediate in Culinary Arts (PBTE) Intermediate in Hotel Operations (PBTE),N/A,N/A,0*
Central Institute of Management Sciences CIMS,"23-A, L Block, Gulberg III, Near Model Town Metro Stop Lahore.",FSc Pre Engineering ICS I.Come FA FSc Pre Medical,Private,N/A,4*
Superior Group of Colleges Okara,"Jawad Avenue, Okara",FA FSc Pre Engineering FSc Pre Medical ICS Computer Science Icom FSc General Science,Private,N/A,4*
Royal Education & Law College Arifwala,"ROYAL Education & Law College, Pakpattan Road, Near Nadra Office, Arifwala",FA ICS FSc Pre Medical FSc Pre Engineering,N/A,Islamia University Bahawalpur,0*
"Swedish Institute of Engineering & Technology, Multan","319-A, Shair Shah Road, Near Gilled Hotel, Multan",DAE Electrical DAE Civil DAE Mechanical DAE Chemical FA Icom FSc Pre Engineering FSc Pre Medical ICs Computer Science,N/A,N/A,0*
College of Banking & Finance (CBF) Karachi,"E-10, Block 7, Gulshan-e-Iqbal, Karachi - 75300",Icom Intermediate Pre-Medical Intermediate in Computer Science Intermediate in Pre-Engineering,N/A,Karachi University,0*
Chenab Group of Colleges (CGC) Islamabad,"F-8 Campus 34, Mazimuddin Road, F-8/4, Islamabad",FA Icom ICS Computer Science Fsc Pre Engineering Fsc Pre Medical,Private,N/A,0*
"Ideal Degree College, Karachi","St - 21 - A, Block - 6. Gulshan-e-Iqbal, Adajcent Sindh Board of Technical Education, Karachi",FSc Pre Engineering Fsc Pre Medical ICom ICs Computer Science FA DAE Civil DAE Electrical Technology DAE Mechanical Technology,N/A,"University of Karachi
Board of Intermediate Education Karachi",0*
Vertex College of Science & Technology Islamabad,"Opp. Rural Development Centre, Simli Dam Road, Bhara Kahu Islamabad",Fsc Pre Medical Fsc Operation Theatre Sciences FSc Pre Engineering,Private,N/A,0*
Johar Institute of Professional Studies Lahore,34-Km Ferozpur Road Lahore.,FSc Pre Medical,N/A,N/A,0*
"Cadet College Hasan Abdal, Attock",Cadet College Hasan Abdal,FSc Pre Medical FSc Pre Engineering FA General Science ALevel ICS,N/A,N/A,4*
SKANS School of Accountancy Islamabad,"House # 68, Nazim uddin Road,F7/4, Islamabad, .",ICs Computer Science Icom CIMA,N/A,N/A,0*
Cadet College Palandri Azad Kashmir,Cadet College Palandri Azad Kashmir,FA ICS Computer Science ICom FSc Pre Medical FSc Pre Engineering,N/A,N/A,0*
Govt Post Graduate College of Science Faisalabad,Govt Post Graduate College of Science Faisalabad,FA Fsc Pre-Medical FSc Pre-Engineering ICS FA General Science ICom,Public,N/A,4*
"Army Public Intermediate College Malir, Karachi",Malir Cantt,FSc Pre Medical Fsc Pre Engineering ICom FA ICs Computer Science,N/A,N/A,0*
NICON Group of Colleges,"941, Main Road, I-10/1, Islamabad",FSc General Science FA,Private,N/A,0*
Superior Group of Colleges Rahim Yar Khan,"East Bank Sadiq Canal Darri Sanghi, Rahim Yar Khan",Fsc Pre Engineering FSc Pre Medical ICS ICOM FA,Private,N/A,0*
Punjab Group of Colleges Okara,Punjab Group of Colleges Okara,FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom FA General Science,Private,N/A,5*
Superior Group of Colleges Arifwala,"Opposite PSO Pump, Sahiwal Road, Arifwala",FSc Pre Medical ICS Computer Science FA ICom FSc Pre Engineering,Private,N/A,0*
Govt College of Technology for Woman Jain Mandir Lahore,2/B Litton Road Jain Mandir Lahore,DAE Computer Technology DAE Dress Designing & Dress Making DAE Electronics Technology DAE Computer Science,Public,N/A,5*
"Central Group of Colleges, Lahore","1-Rasheed Park, Ferozepur Road, Lahore",FSc Pre Medical Fsc Pre Engineering ICom ICS FA,Private,N/A,2*
University of Munawwar ul islam Gujrat,University of Munawwar-ul-Islam,FA Icom FSc Pre Medical ICS Computer Science FSc Pre Engineering,N/A,N/A,0*
Superior Group of Colleges Shahdara Lahore,"23-L, Gulberg III, Lahore, Punjab",FSc Pre Engineering Fsc Pre Medical ICS Computer ScienceI FA Arts,Private,N/A,5*
Superior Group of Colleges Bahawalpur,"7-A, Aziz Bhatti Road, Model Town A, Bahawalpur",FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,Private,N/A,4*
Allama Iqbal College Bahawalpur,DC Office Opposite Govt Punjab Printing Press Bahawalpur,FA ICs Computer Science FSc Pre Engineering FSc Pre Medical ICom,Public,N/A,5*
"Pakistan Steel Cadet College, Karachi","Cadet College, Steel Town Karachi",FA ICs Computer Science FSc Pre Engineering FSc Pre Medical ICom,N/A,N/A,5*
City College of Commerce Rawalpindi,"Near Arshi Mosque, 14-A, Satellite Town, Rawalpindi",ACCA,N/A,N/A,0*
Logix College of Information Technology & Business Studies VU Campus Sargodha,"LOGIX College, Club Road, Opp. Askari CNG Stattion, Shama Chowk, Sargodha",FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS Icom FA (IT),N/A,"Virtual University (Govt. Of Pakistan)
 University of Cambridge (UK)
 Skill Development Council (A joint project of Ministry of Overseas Pakistanis, World Bank, ILO & EFP).
 SMEDA (Small & Medium Enterprise Development Authority, Govt. of Pakistan)",0*
Govt College of Technology Printing & Graphics Arts Lahore,Allama Iqbal Town Near Science College Wahdat Road Lahore,DAE Printing & Graphic Arts,Public,TEVTA,0*
SKANS School of Accountancy Rawalpindi,"SKANS Rawalpindi Campus Plot#16, Raja Akram Road, Near Race Course Park, Rawalpindi ",FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS Icom CIMA  ACCA FIA  HND Higher National Diploma,N/A,N/A,0*
Govt Post Graduate College Khanewal,Khanewal,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science FA General Science,Public,N/A,5*
Muslim College City Campus Multan,"Peoples Colony, Multan",FA Icom FSc Pre-Engineering FSc Pre-Medical ICS FA General Science,Private,N/A,0*
Govt Degree College for Women Shalimar Town China Scheme Lahore,Shalimar Town China Scheme Lahore,Icom FA FSc Pre Engineering FSc Pre Medical ICS,Public,N/A,4*
Baqai Cadet College Karachi,"Off Super Highway-Gadap Road, Karachi",FSc Pre Medical Fsc Pre Engineering ICs Computer Science ICom FA,N/A,N/A,0*
"Hayat ul Islam Degree Girls College, Karachi","ST-18, Block-5, Opp: KFC, Gulshan-e-Iqbal, Karachi",FA FSc Pre Engineering FSc Pre Medical ICom ICS  Computer Scinece,N/A,N/A,0*
Cadet College Swat,Cadet College Swat Gulibagh Swat,FSc Pre Medical FSc Pre Engineering FSc Computer Science FA General Science Icom,N/A,N/A,2*
Apwa Youth College for Girls Lahore,"65-Jail Road, Lahore.",FA Fsc Pre Engneering FSc Pre Medical ICS Computer Science ICom ICS Physics,Private,N/A,5*
Trinity Girls College Karachi,"Close to Avari Towers, Saddar, Karachi",FA FSc Pre Engineering FSc Pre Medical ICom,N/A,University of Karachi,2*
"Garrison Post Graduate College for Women, Lahore","Garrison Post Graduate College for Women, 52 Tuffail Road, Lahore Cantt",FA ICom ICS FSc Pre Medical FSc Pre Engineering FA General Science,Private,N/A,0*
Zawiya Academy Islamabad,"3rd Floor, Al-Babar Center, F-8 Markaz, Islamabad",FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS IComA Level,N/A,N/A,2*
"ILM College, Lahore","72 - 74 Usman Block Garden Town, Lahore",FSc Pre Medical Fsc Pre Engineering ICom ICS FA,N/A,University of Management & Technology (UMT),0*
Islamabad Model College for Boys H-9 Islamabad,Islamabad Model College for Boys H-9 Islamabad,FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,N/A,N/A,3*
Punjab Group of Colleges Sahiwal,Pakpattan Road Sahiwal,FA FSc Pre Engineering FSc Pre Medical FA General Science ICS Computer Science ICom,Private,N/A,4*
Punjab Group of Colleges Gujar Khan,Near Al-Noor Hotel G.T Road Gujar Khan,FA ICS Computer Science ICom FSc Pre Medical FSc Pre Engineering FA General Science,Private,N/A,4*
Govt Post Graduate College for Girls Sahiwal,Govt Post Graduate College for Girls Sahiwal,FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,N/A,N/A,0*
"Govt. Postgraduate College, Mirpur","Mirpur, Azad Jammu & Kashmir",FA FSc Pre Engineering FSc Pre Medical,N/A,N/A,4*
Govt Vocational Training Institute (W) (RMGTC) Bahawalpur,"Farid Gate, Bahawalpur",FA FSc Pre Engineering FSc Pre Medical ICS ICom,N/A,N/A,0*
"Anis Hassan School of Accountancy, Karachi","12-C, Lane 9, Sehar Commercial Area Phase 7, DHA Karachi, ",FA FSc Pre Engineering FSc Pre Medical ACCA CIMA FIA A-Level,N/A,N/A,4.75*
Cadet College Rawalpindi,"Near Chakri Interchange , Islamabad-Lahore Motorway M-2 , Rawalpindi",FSc Pre Medical FSc Pre Engineering ICS ICom FA,N/A,N/A,0*
Govt Degree College for Women Murree Road Rawalpindi,MURREE ROAD RAWALPINDI ,FA ICS I.Com FSc Pre Medical FSc Pre Engineering,Public,N/A,0*
Fazaia College of Education for Women Lahore,Sarwar Road Lahore Cantt,FSc Pre Engineering Fsc Pre Medical FA ICom ICS,N/A,N/A,0*
"Hyderabad Institute of Arts, Science & Technology (HIAST), Hyderabad","Auto Bhan Road, Latifabad, Hyderabad",FSc Pre Medical Fsc Pre Engineering,N/A,N/A,5*
"Kashmir Model College, Mirpur","15-B/2, Mirpur, Azad Jammu & Kashmir",FA Icom ICs Computer Science Fsc Pre Medical FSc Pre Engineering,N/A,N/A,0*
SKANS School of Accountancy Faisalabad,"P-2/2 Lyal Pur Cold Store, Soosan Road, Madina Town, Faislabad",FA Icom ICS Computer Science Fsc Pre Engineering Fsc Pre Medical,N/A,N/A,0*
Punjab Group of Colleges Gujrat,Punjab Group of Colleges Gujrat,FA ICom FSc Pre Medical FSc Pre Engineering ICS Computer Science FA General Science,Private,N/A,1.75*
Govt Post Graduate College Jhang,Govt Post Graduate College Jhang,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science FA General Science,Public,N/A,3*
Superior Group of Colleges Kharian,"Main G.T. Road, Kharian",Fsc Pre Engineering FSc Pre Medical ICS ICOM FA,Private,N/A,2*
Army Public School Eme College Campus Rawalpindi,"Army Public School, EME College Campus, Peshawar Road, Rawalpindi",ICS FSc Pre Engineering FSc Pre Medical FA I.Com,Private,N/A,0*
Center for Professional Excellence (CPE) Islamabad,"44, Nazim-u-Din Road, F-7/4, Behind Saudi Pak Tower, Islamabad.",ACCA FIA,N/A,N/A,0*
"College of Medical Laboratory Technology, Islamabad","College of Medical Laboratory Technology, Islamabad",FSc Medical Laboratory Technology,N/A,N/A,5*
Punjab College for Women Lahore,"1 Noon Avenue, New Muslim Town Lahore",FSc Pre Engineering Fsc Pre Medical ICom ICs Computer Science FSc General Science,N/A,"University of Punjab Lahore 
 BISE Lahore",4*
The Peace Group Of Schools & Colleges Abbottabad,"Mansehra Road, Opposite Radio , Abbottabad",FSc Pre Medical Fsc Pre Engineering ICS Computer Science,Private,N/A,3*
Grafton College of Management Sciences Islamabad,"Grafton College No.6, Park Road, Chuck Shahzad, P.O Tarlai Kalan Islamabad, ",FSc Pre-Engineering Fsc Pre-Medical FA ICS Computer Sciences ICom DAE in Electrical Engineering DAE in Electronics Engineering DAE in Civil Engineering,N/A,"Middlesex University
British Computer Society
Institute of Commercial Management",0*
Pakistan Finance College Lahore,"93- Shadman I, Shadman Chowck, Lahore",FSc Pre Medical ICS ICOM Fsc Pre Engineering,N/A,"BISE Lahore
 Punjab University",0*
"Zarai University, Faisalabad",University of Agriculture University Main Rd? Faisalabad,FA I.Com FSc Pre Medical FSc Pre Engineering ICS,N/A,N/A,0*
Grafton College Islamabad,"Grafton College No.6, Park Road, Chuck Shahzad, Islamabad, ",FA FSc Pre-Engineering FSc Pre-Medical ICS Icom DAE Civil Technology FA General Science DAE Electrical Technology DAE Electronics Technology,Private,N/A,0*
Punjab Group of Colleges Chakwal,Bhoun Road Chakwal,FA Fsc Pre Medical FSc Pre Engineering ICom ICS Computer Science FA General Science,Private,N/A,3*
Kips Academy Model Town Campus Bahawalpur,"Adil Plaza, Ahmad Pur Road Opp. Circuit House.",FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,Private,N/A,0*
Haris Institute Peshawar,"Fakhr-e-Alam Road, Peshawar Cantt.",Fsc OT Tech FSc Imaging Tech FSc Medical Lab Tech,Private,N/A,0*
Govt Degree College for Women Marghzar Colony Lahore,Govt Degree College for Women Marghzar Colony Lahore,FSc Pre Medical Fsc Pre Engineering FA Arts FA General Science ICom ICS,Public,N/A,0*
"Govt. Jinnah Islamia College, Sialkot","Govt. Jinnah Islamia College, Sialkot",FA ICs Computer Science Icom FSc Pre Engineering Fsc Pre Medical,N/A,N/A,4.25*
Askaria Colleges Girls Wing Rawalpindi,"117- Market Road, Rawalpindi Cantt",FA ICS I.Com FSc Pre Engineering FSc Pre Medical,Private,Federal Board,4*
Govt College for Women Lahore,"38-47/C-II, Ghalib Road, Gulberg-III, Lahore",FA FSc Pre Engineering FSc Pre Medical ICom ICS ,N/A,N/A,3.75*
Government Allama Iqbal College Sialkot,"Khadim Ali Road, Sialkot, ",FA FSc Pre Engineering FSc Pre Medical ICS Computer Science,Public,N/A,4*
"Pakturk International School & Colleges, Boys Section, Islamabad","Plot No. 3, Park Road, Near Tramwery Chowk. Chak Shehzad, Islamabad",Fsc Pre Engineering Fsc Pre Medical ICS ICOM FA General Science FA,N/A,N/A,0*
Vertex College Of Science & Technology Mardan Campus,"Behaind UBL Bank Road, Mardan",F.Sc Medical Lab Technology DAE Civil Technology DAE Electrical Technology,N/A,"HERA-KPK, Peshawar, SUIT-Peshawar, BISE-Abbottabad, HU-mansehra, KPK Medical Faculty, Peshawar",0*
Jinnah Polytechnic Institute Faisalabad,Zubair Colony Jaranwala Road Faisalabad,DAE in Electrical Technology DAE in Electronics Technology DAE in Mechanical Technology DAE in Civil Technology DAE in Architecture DAE in Instrument Technology,N/A,N/A,0*
"Pakistan International Public Schools and College, Abbottabad",Abbottabad 22010,FSc Pre Medical Fsc Pre Engineering ICS Computer Science,N/A,N/A,0*
College of Tourism and Hotel Management COTHM Gujranwala,"25-D Satellite Town, Main Dastgir Road, Gujranwala",Intermediate in Hotel Operations (PBTE) Intermediate in Culinary Arts (PBTE),Private,N/A,0*
Askaria College Rawalpindi Cantt,"Askaria College, 140-Saifullah Lodhi Road, Rawalpindi Cantt",FSc Pre Medical Fsc Pre Engineering ICS FA ICom,Private,N/A,0*
Scholars Group of Colleges Rawalpindi,"177-A Sarawar Road Sadar Rawalpindi, Rawalpindi",FA FSc Pre-Engineering FSc Pre-Medical ICS ICom,Private,"Punjab University
Bahauddin Zakariya University
BISE Lahore",0*
Iqra College of Technology Islamabad,Margalla Railway Station Road H-10/4 ISLAMABAD,DAE Civil Technology DAE Mechanical Technology DAE Electrical Technology DAE Electronics Technology DAE Auto & Diesel DAE Computer Information DAE Refrigeration & Airc conditioning ,N/A,N/A,0*
Brains Institute Peshawar,"Phase III Chowk, Jamruk Road, Peshawar",FSc Pre Medical Fsc Pre Engineering FSc Computer Sciences FA DCom,Private,N/A,0*
"Zawiya Academy Chaklala Scheme III, Rawalpindi","At Front Generation School, Corner of Street 13, Main Imran Khan Avenue, Chaklala Scheme III, Rawalpindi.",FSc Pre Engineering Fsc Pre Medical A Level,N/A,N/A,0*
Fatima Jinnah College For Women Fawara Chowk Gujrat,"Fawara Chowk, Gujrat",FA FSc Pre Engineering FSc Pre Medical FA General Science ICS Computer Science ICom,N/A,N/A,0*
Govt Islamia College of Commerce Lahore,"1-Ravi Block, Allama Iqbal Town",FA FSc Pre Engineering FSc Pre Medical ICS ICom,Public,"BISE Lahore 
 Punjab University",0*
The City College of Commerce Faisalabad,431-D People’s Colony,Icom FA ICS FSc Pre Medical FSc Pre Engineering,Private,N/A,0*
British University College,Chungi Number 9 Multan,FA Icom ICs Computer Science FSc Pre Engineering FSc Pre Medical FIA ACCA.,N/A,N/A,0*
Sir Adamjee Institute Intermediate College,"ST-11A, Block-2, Hussainabad, F. B. Area, Karachi-75900.",FSc Pre Medical Fsc Pre Engineering ICom ICS,Private,N/A,0*
Sharif College of Engineering and Technology SCET Lahore,"Adda Plot, Jati Umra, Off Raiwind Road, Lahore. ",FSc Pre Medical Fsc Pre Engineering FA ICS ICom,Private,UET Lahore,0*
Govt Islamia College for Boys Lahore Cantt,Ghazi Abad Cantt,FA FSc Pre Engineering FSc Pre Medical ICS ICom,N/A,"BISE Lahore 
 Punjab University Lahore",0*
The National College VU Campus Multan,"858-D, Bosan Road, Multan.",FA Icom ICs Computer Science FSc Pre Medical  FSc Pre Engineering FA General Science  DAE Civil Technology DAE Electrical Technology DAE Electronics Technology,Private,N/A,0*
"Abeel School of Accountancy (ASA), Karachi","A: Suite No. 402, Meriums Complex, Bahadurabad",ACCA CIA CFA CIMA,N/A,N/A,0*
Govt Postgraduate College Of Commerce Peoples Colony Faisalabad,Peoples Colony Faisalabad,DAE Civil Technologies DAE Electrical Technologies DAE Mechanical Technologies FA FSc Pre Engineering FSc Pre Medical ICS Computer Science Icom ,N/A,N/A,0*
Applied Technologies Institute NLC Mandra,"Tolling Head Office Sowan Camp, Rawalpindi .",I.COM ICS FSC pre medical FSC pre Engineering,N/A,N/A,0*
Govt Degree College For Women Multan,"Chungi No. 14, Multan",FA Fsc Pre Medical FSc Pre Engineering ICom ICs Computer Science,N/A,N/A,2*
National Institute of Health & Management Sciences (NiHMS) Peshawar,"Waris Road Near PSO Pump Haji Camp, G.T. Road, Peshawar",FSc Dental Technology Fsc Pathology (MLT) Technology Fsc Surgical Technology ,N/A,N/A,0*
Govt Degree College For Women Dubai Mahal Road Bahawalpur,Govt Degree College For Women Dubai Mahal Road Bahawalpur,FA Fsc Pre Medical FSc Pre Engineering ICS Computer Science FA General Science,Public,N/A,5*
Sir Syed Science College,"Tipu Road, Rawalpindi",FSc Pre-Medical FSc Pre-Engineering ICom ICS FA General Science FA,Private,The University of Sargodha,5*
Punjab Group of Colleges Attock,"Teen Meela Chowk, Rawalpindi Road Attock",FA ICS Computer Science ICom FSc Pre Engineering FSc Pre Medical FA General Science,Private,N/A,0*
"Punjab College for womens, Gujrat","Main GT Road Near Govt. Science College,",FA FSc Pre Engineering FSc Pre Medical ICom ICS  Computer Science,N/A,N/A,3*
The American School and College Karachi,"D-116, Block 2, Clifton, Karachi",FSc Pre Engineering Fsc Pre Medical IComFA ICS Computer Scinece A Level,N/A,N/A,5*
Sadiq Public School Bahawalpur,Sadiq Public School Bahawalpur,FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS Icom A Level,N/A,N/A,4*
Harmain Institute of Health Sciences (HIHS) Rawalpindi,"I-J-P Road,Westridge III,Gulstan-E-Paker	 Rawalpindi",FSc Medical Laboratory Technology FSc Operation Theatre Technician Fsc Physiotherapy Technician FSc RadiographerI ICS Computer Science Icom Fsc Pre Medical Fsc Pre Engineering FA  ,N/A,N/A,0*
Dr Ziauddin Intermediate College Nazimabad Karachi,Block-B North Nazimabad Karachi,FSc Pre Engineering Fsc Pre Medical FSc Clinical Laboratory Sciences FSc Medical Technology,N/A,Board of Intermediate Education Karachi,2*
Govt Post Graduate College Samundri Faisalabad,Govt Post Graduate College Samundri Faisalabad,FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,Public,N/A,0*
University College for Boys University of Peshawar,"Peshawar, Khyber Pakhtunkhwa",FSc Pre Medical Fsc Pre Engineering FA ICS General Sciecne ICS,Public,University of Peshawar,5*
OPF Boys College Islamabad,"OPF Boys College, H-8/4 Islamabad",FSc Pre Medical Fsc Pre Engineering FA A Level ICS ICom,Private,N/A,0*
Govt Degree College for Women Shahdara Lahore,Govt Degree College for Women Shahdara Lahore,FA Icom ICS FSc Pre Engineering FSc Pre Medical,Public,N/A,0*
Faran Institute of Technology FIT Gujrat,Deona Mandi G.T. Road Gujrat,DAE in Civil DAE in Electrical DAE in Electronics DAE in Mechanical DAE in Solar Energy DAE in Safety Inspecter,Private,TEVTA and PBTE Lahore,5*
Bahria College Naval Complex E-8 Islamabad,"Bahria College, Naval Complex, E-8, Islamabad",FSc Pre Engineering Fsc pre Medical ICs Computer Science FSc General Science,Private,N/A,3*
Leadership Colleges Network Sialkot,"Ali Building, Khadim Ali Road, Sialkot",FA ICs Computer Science Icom FSc Pre Engineering Fsc Pre Medical,Private,BISE Gujranwala,0*
Quaid-e-Azam Degree College Peshawar,"Opp Arbab Niaz Stadium, Faqirabad Road Peshawar City.",FSc Pre-Medical Fsc Pre-Engineering DBA ICS FA ICom FA General Science,N/A,N/A,0*
IBL College of Commerce Lahore,"18-Civic Center, C-Block, Faisal Town",Icom Fsc Pre Engineering FSc Pre Medical ICS FA,N/A,"BISE Lahore 
 University of the Punjab Lahore",2*
Himayat-e-Islam Degree College for Women Lahore,"Himayat-e-Islam Degree College for Women, 119 Multan Road, Lahore, .",FA Fsc Pre Medical FSc Pre Engineering ICom ICS,N/A,N/A,0*
Lahore College of Commerce and Computer Science Lahore,132-G.T. Road Baghban Pura Lahore,FSc Pre Medical Fsc Pre Engineering ICom,N/A,"BISE Lahore
 University of the Punjab 
 Punjab Board of Technical Education",1*
"Karachi Institute of Management & Technology, Karachi","F-100/A, Block ""F"" Allama Rashid Turabi Road North Nazimabad Karachi (Near Zia Uddin Hospital)",DAE Civil Technology DAE Computer Science DAE Electrical Technology DAE Mechanical Technology DAE Telecommunication DAE Electronics Technology,N/A,N/A,0*
Lyallpur Law College Faisalabad,"670-A Peoples Colony No. 1 Canal Road, Faisalabad",FA FSc Pre Engineering FSc Pre Medical ICS Computer Science ICom,Private,N/A,0*
Al-Noor College Lahore,"LAJPAT ROAD SHAHDARA, LAHORE",FSc Pre Medical FSc Pre Engineering ICS I.Com FA,N/A,N/A,5*
Pakistan Degree College Lahore,"8-13, College Block Allama Iqbal Town Lahore",FA ICOM FSc Pre Medical ICS,N/A,N/A,0*
Govt Degree College No.1 Dera Ismail Khan,Govt Degree College No.1 Dera Ismail Khan,FA FSc Pre Engineering FSc Pre Medical,Public,N/A,0*
Superior Group of Colleges Mandi Bahaudin,"Satt Sira Chowk, Mandi Bahaudin",FSc Pre Engineering Fsc Pre Medical ICs Computer Science ICom FA,Private,N/A,5*
Aisha Bawany Collegiate Karachi,"185, Main Shahrah-e-Faisal, Karachi, ",FA Icom ICs Computer Science Fsc Pre Medical FSc Pre Engineering,N/A,N/A,2*
Govt City Girls College Gulbahar Peshawar,Govt City Girls College Gulbahar Peshawar,FA Fsc Pre Medical FSc Pre Engineering ICs Computer Science,Public,N/A,0*
Fazaia Inter College Islamabad,"Fazaia Inter College, E-9, Islamabad",FSc pre Engineering Fsc pre Medical ICs Computer Science FA ICom,Private,N/A,0*
Kips Academy Rahim Yar Khan,"Educational Avenue, Eastern Bank Sadiq Canal, Near Govt. Girls College Bridge, R.Y. Khan.",FSc Pre Engineering Fsc Pre Medical ICS FA ICom,Private,N/A,4.75*
Pakistan Institute of Rehabilitation Sciences Islamabad,"Lehtrar Road, Frash Town, Phase-ll, Islamabad, ",FSc Pre Medical,Private,N/A,0*
Govt Degree College For Women Sargodha Road Faisalabad,"Govt Degree College For Women 122/JB, Sargodha Road Faisalabad",FA FA General Science ICS FSc Pre-Medical FSc Pre-Engineering ICom,Public,N/A,0*
Farabi Degree College Peshawar,Peshawar,FSc Pre Medical Fsc Pre Engineering ICs Computer Science ACCA CIMA FCS Computer Science FA,Public,N/A,0*
"Govt. Apprentices Training Centre, Township, Lahore","College Road, Township, Lahore",DAE Heating Ventilation Air Conditioning DAE Welding,Public,N/A,0*
Govt Post Graduate College Attock,Govt Post Graduate College Attock,ICS FA General Science FA FSc Pre-Engineering FSc Pre-Medical,Public,N/A,5*
Hashoo Foundation Human Development Resource Centre Lahore,"8-C, Sir Agha Khan Road, Near Jang News Paper Lahore.",FA FSc Pre Engineering FSc Pre Medical ICom ICS ,N/A,N/A,0*
"Pakistan Knitwear Training Institute, Karachi","C -10 /14, Block -2, Nazimabad, Karachi",Diploma in Garments Manufacturing,N/A,N/A,0*
College of Tourism and Hotel Management COTHM Bahawalpur,"18 / B1, Muhammad Hussain Road, Model Town A, Bahawalpur",Intermediate in Hotel Operations (PBTE) Intermediate in Culinary Arts (PBTE),Private,N/A,0*
Udhyana Institute of Medical Sciences Abbottabad,"58/A-1, Shah Zaman Colony PMA Road Abbottabad",FSc Medical Laboratory Technology,N/A,N/A,0*
Federal Science College Wah Cantt,"P 42-44. End of Lane # 2, LalaRukh, Wah Cantt.",FA I.COM ICS FSC Pre Medical FSC Pre Engieenring,N/A,N/A,0*
Nishat Degree College Islamabad,"Near Ali Trust, Lehtrar Road, Khanna Pul Islamabad",Icom Fsc Pre Engineering ICS FSc Pre Medical FA,Public,N/A,0*
Govt Postgraduate College for Women Shadbagh Lahore,Government College for Women Shadbagh Lahore,FSc Pre Engineering Fsc Pre Medical FSc General Science I.Com ICS FA,Public,N/A,2*
"Adamson Institute of Business Admin & Tech (IBADAT), Karachi","139 P, Block 2, Kashmir Road, PECHS, Karachi",FSc Pre Medical Fsc Pre Engineering ICom FA General Science,N/A,N/A,3*
"Cadet College Razmak, Bannu","Razmak, North Waziristan Agency, Federally Administered Tribal Areas (FATA), ",FA Icom FSc Pre Engineering FSc Pre Medical ICs Computer Science,N/A,N/A,0*
Govt College of Science Multan,"Government College Of Science, Multan",Fsc Pre Engineering FSc Pre Medical ICS ICOM FA,Public,N/A,4*
"Defence Degree College For Boys, Lahore","305 - R, Phase II, DHA, Lahore Cantt",FSc Pre Engineering Fsc Pre Medical ICS I.Com FA,N/A,N/A,5*
"Mehran Degree Girls College, Karachi","C-116, Near Aisha Manzil Bus Stop Block-6, F.B. Area, Karachi",FA Icom ICS Computer Science Fsc Pre Engineering Fsc Pre Medical,N/A,N/A,0*
Buraq Institute of Technology Rawalpindi,"11-D, 6th Road, Satellite Town, Rawalpindi, ",DAE Civil Technology DAE Electronics Technology DAE Electrical Technology,N/A,Punjab Board of Technical Education,0*
"Askaria Colleges, Boys Wing, Rawalpindi","Bank/Canning Road, Rawalpindi Cantt, ",FA ICS FSc Pre Engineering FSc Pre Medical I.Com,Private,Federal Board,4*
Sir Adamjee Institute Management Sciences Karachi,"ST-11A Hussainabad, F.B. Area Block-2, Karachi - 75900",FSc Pre Mediacl Fsc Pre Engineering ICS ICom,N/A,N/A,0*
"Lahore Grammer College for Women, Lahore","173-Shadman II Canal Bank (Service Lane), Lahore",FSc Pre Engineering Fsc Pre Medical ICS FA I.COM FSc General Science,N/A,"Board of Intermediate and Secondary Education Lahore (BISE Lahroe), University of the Punjab (PU)",0*
Scienta Vision College,"House No. 627, Main Sawan Road, G-10/2, Islamabad",FSc Pre Medical Fsc Pre Engineering ICS,Private,N/A,5*
Tameer-e-Nau Public College Quetta,Gulistan Road Near Police Line Quetta,ICS Fsc Pre Eng Fsc Pre Medical,Public,N/A,5*
Cadet College Larkana,Cadet College Larkana,FA Icom ICs Computer Science Fsc Pre Medical FSc Pre Engineering,N/A,N/A,0*
Alhamd Institute of Modern Sciences,"Ibn-E-Seena Road, G-10/3 Islamabad",FSc Pre Medical Fsc Pre Engineering ICs Computer Science ICom,N/A,N/A,0*
"Quaid-e-Azam Public College, Gujranwala","G.T. Road, Gujranwala (52250)",FSc Pre Medical Fsc Pre Engineering,N/A,N/A,4*
Harvard College of Commerce and Sciences Rawalpindi,"Harvard College of Commerce and Sciences,House No. 41, Seham House (Seham Road) Main Peshawar Road,Rawalpindi",FA Icom ICs Computer Science Fsc Pre Medical FSc Pre Engineering,Private,N/A,4*
